결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익,company,inudstry,year,quarter
19년09월(3Q),15200.0,1577.0,693.0,-22.0,-1.0,66.0,8417.0,1.81,136.04,-28.48,-3.17,-0.1,79.78,모두투어,여행사,19,3Q
19년06월(2Q),19700.0,1590.0,706.0,-2.0,-8.0,-78.0,8425.0,2.34,141.4,-14.45,-0.27,-2.03,84.82,모두투어,여행사,19,2Q
19년03월(1Q),23100.0,1622.0,923.0,91.0,83.0,129.0,8479.0,2.72,119.39,-15.43,9.9,24.29,80.39,모두투어,여행사,19,1Q
18년12월(4Q),24100.0,1612.0,764.0,4.0,7.0,112.0,8402.0,2.87,107.57,-22.33,0.46,2.97,82.76,모두투어,여행사,18,4Q
18년09월(3Q),25150.0,1596.0,969.0,27.0,12.0,88.0,8294.0,3.03,106.86,-2.31,2.82,3.52,69.18,모두투어,여행사,18,3Q
18년06월(2Q),27200.0,1625.0,826.0,41.0,26.0,64.0,8236.0,3.3,113.21,-1.88,4.91,7.88,82.34,모두투어,여행사,18,2Q
18년03월(1Q),39350.0,1625.0,1092.0,95.0,77.0,80.0,8097.0,4.86,110.83,20.74,8.68,22.91,73.09,모두투어,여행사,18,1Q
17년12월(4Q),30500.0,1644.0,983.0,75.0,50.0,125.0,8196.0,3.72,113.2,66.51,7.59,14.52,73.86,모두투어,여행사,17,4Q
17년09월(3Q),24250.0,1558.0,992.0,81.0,58.0,128.0,7905.0,3.07,106.54,54.46,8.21,18.3,70.3,모두투어,여행사,17,3Q
17년06월(2Q),31650.0,1250.0,841.0,73.0,60.0,98.0,7606.0,4.16,87.43,55.0,8.71,21.27,76.42,모두투어,여행사,17,2Q
17년03월(1Q),38650.0,1038.0,904.0,110.0,81.0,31.0,7009.0,3.68,107.16,51.86,12.18,31.21,78.48,모두투어,여행사,17,1Q
16년12월(4Q),28950.0,1027.0,591.0,38.0,25.0,61.0,6983.0,2.77,104.94,11.63,6.46,10.97,94.89,모두투어,여행사,16,4Q
16년09월(3Q),28800.0,1042.0,642.0,83.0,68.0,125.0,6838.0,2.81,92.9,24.78,12.97,26.59,95.53,모두투어,여행사,16,3Q
16년06월(2Q),27700.0,1011.0,543.0,37.0,33.0,51.0,6485.0,2.85,87.92,9.43,6.75,14.23,94.81,모두투어,여행사,16,2Q
16년03월(1Q),30100.0,979.0,595.0,43.0,33.0,80.0,6302.0,3.19,87.8,18.22,7.26,14.2,95.88,모두투어,여행사,16,1Q
15년12월(4Q),33700.0,997.0,529.0,17.0,2.0,-123.0,6359.0,3.53,83.1,29.43,3.23,1.12,95.93,모두투어,여행사,15,4Q
15년09월(3Q),38350.0,1050.0,515.0,33.0,30.0,258.0,6349.0,4.03,76.75,9.47,6.48,12.44,96.29,모두투어,여행사,15,3Q
15년06월(2Q),33200.0,1020.0,496.0,52.0,40.0,-72.0,6177.0,3.59,65.12,36.1,10.4,16.47,95.63,모두투어,여행사,15,2Q
15년03월(1Q),33100.0,1173.0,504.0,63.0,56.0,-93.0,5962.0,3.7,90.82,24.76,12.42,22.79,96.09,모두투어,여행사,15,1Q
14년12월(4Q),24200.0,1091.0,409.0,45.0,39.0,61.0,5975.0,2.7,105.66,13.71,10.96,14.56,94.83,모두투어,여행사,14,4Q
14년09월(3Q),22500.0,1053.0,470.0,70.0,32.0,136.0,5796.0,2.59,107.44,6.98,14.9,18.61,98.04,모두투어,여행사,14,3Q
14년06월(2Q),23700.0,944.0,364.0,21.0,18.0,-3.0,5549.0,2.85,106.75,19.18,5.85,10.05,98.78,모두투어,여행사,14,2Q
14년03월(1Q),24450.0,936.0,404.0,30.0,51.0,100.0,5469.0,2.98,75.22,10.6,7.43,23.36,99.05,모두투어,여행사,14,1Q
13년12월(4Q),22950.0,898.0,359.0,38.0,41.0,-76.0,5516.0,2.78,69.68,4.74,10.64,17.73,98.97,모두투어,여행사,13,4Q
13년09월(3Q),24200.0,864.0,439.0,72.0,62.0,146.0,5296.0,3.05,89.43,8.04,16.36,31.92,99.14,모두투어,여행사,13,3Q
13년06월(2Q),26600.0,811.0,306.0,52.666666666666664,8.0,52.0,4947.0,3.59,89.66,2.9,-0.05,5.93,98.71,모두투어,여행사,13,2Q
13년03월(1Q),28200.0,820.0,365.0,48.0,42.0,33.0,4902.0,3.84,79.07,9.98,13.14,21.34,98.94,모두투어,여행사,13,1Q
12년12월(4Q),30100.0,842.0,343.0,53.0,36.0,115.0,4958.0,4.05,76.69,6.415,15.33,19.23,98.67,모두투어,여행사,12,4Q
